iso3,country_name_standard,dashboard_name,wb_region,wb_income,year,awp_usd_per_m3,cawp_pct,tawp_pct,VETb_m3,vetb_Mm3,gva_agriculture_usd,cr_value,cr_source,irr_area_ha,ETb_annual_mm,AETI_annual_mm,quality_flag
ABW,Aruba,Aruba,Latin America & Caribbean ,High income,2018,,,,0.0,0.0,729050.279329609,0.8,GLOBAL_DEFAULT,0.0,,,"CR_GLOBAL_DEFAULT,ZERO_VETB,NO_GMIE_IRRIGATION"
ABW,Aruba,Aruba,Latin America & Caribbean ,High income,2019,,,,0.0,0.0,616592.72441857,0.8,GLOBAL_DEFAULT,0.0,,,"CR_GLOBAL_DEFAULT,ZERO_VETB,NO_GMIE_IRRIGATION"
ABW,Aruba,Aruba,Latin America & Caribbean ,High income,2020,,,,0.0,0.0,536312.849162011,0.8,GLOBAL_DEFAULT,0.0,,,"CR_GLOBAL_DEFAULT,ZERO_VETB,NO_GMIE_IRRIGATION"
ABW,Aruba,Aruba,Latin America & Caribbean ,High income,2021,,,,0.0,0.0,864228.970513073,0.8,GLOBAL_DEFAULT,0.0,,,"CR_GLOBAL_DEFAULT,ZERO_VETB,NO_GMIE_IRRIGATION"
ABW,Aruba,Aruba,Latin America & Caribbean ,High income,2022,,,,0.0,0.0,1137299.48873189,0.8,GLOBAL_DEFAULT,0.0,,,"CR_GLOBAL_DEFAULT,ZERO_VETB,NO_GMIE_IRRIGATION"
ABW,Aruba,Aruba,Latin America & Caribbean ,High income,2023,,,,0.0,0.0,,0.8,GLOBAL_DEFAULT,0.0,,,"MISSING_GVA,CR_GLOBAL_DEFAULT,ZERO_VETB,NO_GMIE_IRRIGATION"
ABW,Aruba,Aruba,Latin America & Caribbean ,High income,2024,,,,0.0,0.0,,0.8,GLOBAL_DEFAULT,0.0,,,"MISSING_GVA,CR_GLOBAL_DEFAULT,ZERO_VETB,NO_GMIE_IRRIGATION"
ABW,Aruba,Aruba,Latin America & Caribbean ,High income,2025,,,,0.0,0.0,,0.8,GLOBAL_DEFAULT,0.0,,,"MISSING_GVA,CR_GLOBAL_DEFAULT,ZERO_VETB,NO_GMIE_IRRIGATION"
AFG,Afghanistan,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,2018,1.365628,,0.0,582801907.9167472,582.802,3979453237.53176,0.8,GLOBAL_DEFAULT,3065124.9,19.0,29.6,CR_GLOBAL_DEFAULT
AFG,Afghanistan,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,2019,1.236709,-9.44,-9.44,783589617.5412204,783.59,4845363322.05338,0.8,GLOBAL_DEFAULT,3065124.9,25.6,36.3,CR_GLOBAL_DEFAULT
AFG,Afghanistan,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,2020,1.642597,32.82,20.28,728347270.9167402,728.347,5981905980.86851,0.8,GLOBAL_DEFAULT,3065124.9,23.8,36.1,CR_GLOBAL_DEFAULT
AFG,Afghanistan,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,2021,1.34844,-17.91,-1.26,710601615.6207194,710.602,4791018919.53499,0.8,GLOBAL_DEFAULT,3065124.9,23.2,32.0,CR_GLOBAL_DEFAULT
AFG,Afghanistan,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,2022,1.396981,3.6,2.3,699476869.6055132,699.477,4885778832.03434,0.8,GLOBAL_DEFAULT,3065124.9,22.8,31.2,CR_GLOBAL_DEFAULT
AFG,Afghanistan,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,2023,1.640011,17.4,20.09,726732167.9713529,726.732,5959243270.69578,0.8,GLOBAL_DEFAULT,3065124.9,23.7,29.2,CR_GLOBAL_DEFAULT
AFG,Afghanistan,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,2024,,,,745073078.5131838,745.073,,0.8,GLOBAL_DEFAULT,3065124.9,24.3,33.6,"MISSING_GVA,CR_GLOBAL_DEFAULT"
AFG,Afghanistan,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,2025,,,,822012739.3526354,822.013,,0.8,GLOBAL_DEFAULT,3065124.9,26.8,32.3,"MISSING_GVA,CR_GLOBAL_DEFAULT"
AGO,Angola,Angola,Sub-Saharan Africa ,Lower middle income,2018,67.367269,,0.0,35449913.239988774,35.45,11940819281.4169,0.8,GLOBAL_DEFAULT,102786.6,34.5,89.7,"CR_GLOBAL_DEFAULT,OUTLIER_AWP"
AGO,Angola,Angola,Sub-Saharan Africa ,Lower middle income,2019,56.911664,-15.52,-15.52,35155995.61854978,35.156,10003931065.3174,0.8,GLOBAL_DEFAULT,102786.6,34.2,89.6,"CR_GLOBAL_DEFAULT,OUTLIER_AWP"
AGO,Angola,Angola,Sub-Saharan Africa ,Lower middle income,2020,48.436753,-14.89,-28.1,36505470.34474326,36.505,8841032248.23865,0.8,GLOBAL_DEFAULT,102786.6,35.5,88.5,CR_GLOBAL_DEFAULT
AGO,Angola,Angola,Sub-Saharan Africa ,Lower middle income,2021,76.031503,56.97,12.86,34660871.89590903,34.661,13176590937.7311,0.8,GLOBAL_DEFAULT,102786.6,33.7,85.3,"CR_GLOBAL_DEFAULT,OUTLIER_AWP"
AGO,Angola,Angola,Sub-Saharan Africa ,Lower middle income,2022,145.888856,91.88,116.56,34157521.031019546,34.158,24916008355.1117,0.8,GLOBAL_DEFAULT,102786.6,33.2,84.7,"CR_GLOBAL_DEFAULT,OUTLIER_AWP"
AGO,Angola,Angola,Sub-Saharan Africa ,Lower middle income,2023,134.266227,-7.97,99.3,33028040.932422876,33.028,22172752173.0425,0.8,GLOBAL_DEFAULT,102786.6,32.1,84.5,"CR_GLOBAL_DEFAULT,OUTLIER_AWP"
