iso3,country_name_standard,dashboard_name,wb_name,wb_region,wb_income,aquastat_name,faostat_code,geojson_name,gee_boundary_name,include_flag,source,notes
ABW,Aruba,Aruba,Aruba,Latin America & Caribbean ,High income,,,,,YES,wb_only,
AFG,Afghanistan,Afghanistan,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,,,,,YES,wb_only,
AGO,Angola,Angola,Angola,Sub-Saharan Africa ,Lower middle income,,,,,YES,wb_only,
ALB,Albania,Albania,Albania,Europe & Central Asia,Upper middle income,,,,,YES,wb_only,
AND,Andorra,Andorra,Andorra,Europe & Central Asia,High income,,,,,YES,wb_only,
ARE,United Arab Emirates,United Arab Emirates,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,,,,,YES,wb_only,
ARG,Argentina,Argentina,Argentina,Latin America & Caribbean ,Upper middle income,,,,,YES,wb_only,
ARM,Armenia,Armenia,Armenia,Europe & Central Asia,Upper middle income,,,,,YES,wb_only,
ASM,American Samoa,American Samoa,American Samoa,East Asia & Pacific,High income,,,,,YES,wb_only,
ATG,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Latin America & Caribbean ,High income,,,,,YES,wb_only,
AUS,Australia,Australia,Australia,East Asia & Pacific,High income,,,,,YES,wb_only,
AUT,Austria,Austria,Austria,Europe & Central Asia,High income,,,,,YES,wb_only,
AZE,Azerbaijan,Azerbaijan,Azerbaijan,Europe & Central Asia,Upper middle income,,,,,YES,wb_only,
BDI,Burundi,Burundi,Burundi,Sub-Saharan Africa ,Low income,,,,,YES,wb_only,
BEL,Belgium,Belgium,Belgium,Europe & Central Asia,High income,,,,,YES,wb_only,
BEN,Benin,Benin,Benin,Sub-Saharan Africa ,Lower middle income,,,,,YES,wb_only,
BFA,Burkina Faso,Burkina Faso,Burkina Faso,Sub-Saharan Africa ,Low income,,,,,YES,wb_only,
BGD,Bangladesh,Bangladesh,Bangladesh,South Asia,Lower middle income,,,,,YES,wb_only,
BGR,Bulgaria,Bulgaria,Bulgaria,Europe & Central Asia,High income,,,,,YES,wb_only,
BHR,Bahrain,Bahrain,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,,,,,YES,wb_only,
BHS,"Bahamas, The","Bahamas, The","Bahamas, The",Latin America & Caribbean ,High income,,,,,YES,wb_only,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,,,,,YES,wb_only,
BLR,Belarus,Belarus,Belarus,Europe & Central Asia,Upper middle income,,,,,YES,wb_only,
BLZ,Belize,Belize,Belize,Latin America & Caribbean ,Upper middle income,,,,,YES,wb_only,
BMU,Bermuda,Bermuda,Bermuda,North America,High income,,,,,YES,wb_only,
BOL,Bolivia,Bolivia,Bolivia,Latin America & Caribbean ,Lower middle income,,,,,YES,wb_only,
BRA,Brazil,Brazil,Brazil,Latin America & Caribbean ,Upper middle income,,,,,YES,wb_only,
BRB,Barbados,Barbados,Barbados,Latin America & Caribbean ,High income,,,,,YES,wb_only,
BRN,Brunei Darussalam,Brunei Darussalam,Brunei Darussalam,East Asia & Pacific,High income,,,,,YES,wb_only,
BTN,Bhutan,Bhutan,Bhutan,South Asia,Lower middle income,,,,,YES,wb_only,
BWA,Botswana,Botswana,Botswana,Sub-Saharan Africa ,Upper middle income,,,,,YES,wb_only,
