m49,VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
4,Geography and population,Land use,Cultivated area (arable land + permanent crops),Afghanistan,2018,8010,1000 ha,X,false
4,Geography and population,Land use,Cultivated area (arable land + permanent crops),Afghanistan,2019,8010,1000 ha,X,false
4,Geography and population,Land use,Cultivated area (arable land + permanent crops),Afghanistan,2020,8051,1000 ha,X,false
4,Geography and population,Land use,Cultivated area (arable land + permanent crops),Afghanistan,2021,8051,1000 ha,X,false
4,Geography and population,Land use,Cultivated area (arable land + permanent crops),Afghanistan,2022,8051,1000 ha,X,false
8,Geography and population,Land use,Cultivated area (arable land + permanent crops),Albania,2018,696,1000 ha,X,false
8,Geography and population,Land use,Cultivated area (arable land + permanent crops),Albania,2019,696,1000 ha,X,false
8,Geography and population,Land use,Cultivated area (arable land + permanent crops),Albania,2020,687.555,1000 ha,X,false
8,Geography and population,Land use,Cultivated area (arable land + permanent crops),Albania,2021,687.53,1000 ha,X,false
8,Geography and population,Land use,Cultivated area (arable land + permanent crops),Albania,2022,686.4,1000 ha,X,false
12,Geography and population,Land use,Cultivated area (arable land + permanent crops),Algeria,2018,8496.4986,1000 ha,X,false
12,Geography and population,Land use,Cultivated area (arable land + permanent crops),Algeria,2019,8509.571,1000 ha,X,false
12,Geography and population,Land use,Cultivated area (arable land + permanent crops),Algeria,2020,8481.391,1000 ha,X,false
12,Geography and population,Land use,Cultivated area (arable land + permanent crops),Algeria,2021,8470.537,1000 ha,X,false
12,Geography and population,Land use,Cultivated area (arable land + permanent crops),Algeria,2022,8503.621,1000 ha,X,false
20,Geography and population,Land use,Cultivated area (arable land + permanent crops),Andorra,2018,0.834,1000 ha,X,false
20,Geography and population,Land use,Cultivated area (arable land + permanent crops),Andorra,2019,0.8001,1000 ha,X,false
20,Geography and population,Land use,Cultivated area (arable land + permanent crops),Andorra,2020,0.7773,1000 ha,X,false
20,Geography and population,Land use,Cultivated area (arable land + permanent crops),Andorra,2021,0.7562,1000 ha,X,false
20,Geography and population,Land use,Cultivated area (arable land + permanent crops),Andorra,2022,0.7562,1000 ha,X,false
24,Geography and population,Land use,Cultivated area (arable land + permanent crops),Angola,2018,5674,1000 ha,X,false
24,Geography and population,Land use,Cultivated area (arable land + permanent crops),Angola,2019,5680,1000 ha,X,false
24,Geography and population,Land use,Cultivated area (arable land + permanent crops),Angola,2020,5685,1000 ha,X,false
24,Geography and population,Land use,Cultivated area (arable land + permanent crops),Angola,2021,5690,1000 ha,X,false
24,Geography and population,Land use,Cultivated area (arable land + permanent crops),Angola,2022,5690,1000 ha,X,false
28,Geography and population,Land use,Cultivated area (arable land + permanent crops),Antigua and Barbuda,2018,5,1000 ha,X,false
28,Geography and population,Land use,Cultivated area (arable land + permanent crops),Antigua and Barbuda,2019,5,1000 ha,X,false
28,Geography and population,Land use,Cultivated area (arable land + permanent crops),Antigua and Barbuda,2020,5,1000 ha,X,false
28,Geography and population,Land use,Cultivated area (arable land + permanent crops),Antigua and Barbuda,2021,5,1000 ha,X,false
28,Geography and population,Land use,Cultivated area (arable land + permanent crops),Antigua and Barbuda,2022,5,1000 ha,X,false
32,Geography and population,Land use,Cultivated area (arable land + permanent crops),Argentina,2018,41249.2309,1000 ha,X,false
32,Geography and population,Land use,Cultivated area (arable land + permanent crops),Argentina,2019,41917.6742,1000 ha,X,false
32,Geography and population,Land use,Cultivated area (arable land + permanent crops),Argentina,2020,42998.2504,1000 ha,X,false
32,Geography and population,Land use,Cultivated area (arable land + permanent crops),Argentina,2021,43297.4863,1000 ha,X,false
32,Geography and population,Land use,Cultivated area (arable land + permanent crops),Argentina,2022,44167.377,1000 ha,X,false
51,Geography and population,Land use,Cultivated area (arable land + permanent crops),Armenia,2018,504.7,1000 ha,X,false
51,Geography and population,Land use,Cultivated area (arable land + permanent crops),Armenia,2019,505,1000 ha,X,false
51,Geography and population,Land use,Cultivated area (arable land + permanent crops),Armenia,2020,504,1000 ha,X,false
51,Geography and population,Land use,Cultivated area (arable land + permanent crops),Armenia,2021,503.72,1000 ha,X,false
51,Geography and population,Land use,Cultivated area (arable land + permanent crops),Armenia,2022,503.93,1000 ha,X,false
36,Geography and population,Land use,Cultivated area (arable land + permanent crops),Australia,2018,31306,1000 ha,X,false
36,Geography and population,Land use,Cultivated area (arable land + permanent crops),Australia,2019,30920,1000 ha,X,false
36,Geography and population,Land use,Cultivated area (arable land + permanent crops),Australia,2020,30996,1000 ha,X,false
36,Geography and population,Land use,Cultivated area (arable land + permanent crops),Australia,2021,31650,1000 ha,X,false
36,Geography and population,Land use,Cultivated area (arable land + permanent crops),Australia,2022,31650,1000 ha,X,false
53,Geography and population,Land use,Cultivated area (arable land + permanent crops),Australia and New Zealand,2018,31895,1000 ha,E,true
53,Geography and population,Land use,Cultivated area (arable land + permanent crops),Australia and New Zealand,2019,31540,1000 ha,E,true
53,Geography and population,Land use,Cultivated area (arable land + permanent crops),Australia and New Zealand,2020,31597,1000 ha,E,true
53,Geography and population,Land use,Cultivated area (arable land + permanent crops),Australia and New Zealand,2021,32340,1000 ha,E,true
53,Geography and population,Land use,Cultivated area (arable land + permanent crops),Australia and New Zealand,2022,32255,1000 ha,E,true
40,Geography and population,Land use,Cultivated area (arable land + permanent crops),Austria,2018,1394.02,1000 ha,X,false
40,Geography and population,Land use,Cultivated area (arable land + permanent crops),Austria,2019,1392.4,1000 ha,X,false
40,Geography and population,Land use,Cultivated area (arable land + permanent crops),Austria,2020,1392.6854,1000 ha,X,false
40,Geography and population,Land use,Cultivated area (arable land + permanent crops),Austria,2021,1390.449,1000 ha,X,false
40,Geography and population,Land use,Cultivated area (arable land + permanent crops),Austria,2022,1387.4678,1000 ha,X,false
31,Geography and population,Land use,Cultivated area (arable land + permanent crops),Azerbaijan,2018,2352.9,1000 ha,X,false
31,Geography and population,Land use,Cultivated area (arable land + permanent crops),Azerbaijan,2019,2356.3,1000 ha,X,false
31,Geography and population,Land use,Cultivated area (arable land + permanent crops),Azerbaijan,2020,2357,1000 ha,X,false
31,Geography and population,Land use,Cultivated area (arable land + permanent crops),Azerbaijan,2021,2363,1000 ha,X,false
31,Geography and population,Land use,Cultivated area (arable land + permanent crops),Azerbaijan,2022,2365.5,1000 ha,X,false
44,Geography and population,Land use,Cultivated area (arable land + permanent crops),Bahamas,2018,11,1000 ha,X,false
44,Geography and population,Land use,Cultivated area (arable land + permanent crops),Bahamas,2019,11,1000 ha,X,false
44,Geography and population,Land use,Cultivated area (arable land + permanent crops),Bahamas,2020,11,1000 ha,X,false
44,Geography and population,Land use,Cultivated area (arable land + permanent crops),Bahamas,2021,11,1000 ha,X,false
44,Geography and population,Land use,Cultivated area (arable land + permanent crops),Bahamas,2022,11,1000 ha,X,false
48,Geography and population,Land use,Cultivated area (arable land + permanent crops),Bahrain,2018,4.1,1000 ha,X,false
48,Geography and population,Land use,Cultivated area (arable land + permanent crops),Bahrain,2019,4.1,1000 ha,X,false
48,Geography and population,Land use,Cultivated area (arable land + permanent crops),Bahrain,2020,4.1,1000 ha,X,false
48,Geography and population,Land use,Cultivated area (arable land + permanent crops),Bahrain,2021,4.1,1000 ha,X,false
48,Geography and population,Land use,Cultivated area (arable land + permanent crops),Bahrain,2022,4.1,1000 ha,X,false
50,Geography and population,Land use,Cultivated area (arable land + permanent crops),Bangladesh,2018,8602.3,1000 ha,X,false
50,Geography and population,Land use,Cultivated area (arable land + permanent crops),Bangladesh,2019,8797,1000 ha,X,false
50,Geography and population,Land use,Cultivated area (arable land + permanent crops),Bangladesh,2020,8830,1000 ha,X,false
50,Geography and population,Land use,Cultivated area (arable land + permanent crops),Bangladesh,2021,8818,1000 ha,X,false
50,Geography and population,Land use,Cultivated area (arable land + permanent crops),Bangladesh,2022,8818,1000 ha,X,false
52,Geography and population,Land use,Cultivated area (arable land + permanent crops),Barbados,2018,8,1000 ha,X,false
52,Geography and population,Land use,Cultivated area (arable land + permanent crops),Barbados,2019,8,1000 ha,X,false
52,Geography and population,Land use,Cultivated area (arable land + permanent crops),Barbados,2020,8,1000 ha,X,false
52,Geography and population,Land use,Cultivated area (arable land + permanent crops),Barbados,2021,8,1000 ha,X,false
52,Geography and population,Land use,Cultivated area (arable land + permanent crops),Barbados,2022,8,1000 ha,X,false
