iso3,country_name,year,n_months_aeti,n_months_pcp,VETb_m3,irr_area_m2,AETI_wsum,ETb_wsum,landuse_source
,Chad,2023,12,12,1.8549612897172442E8,4.807712974445039E9,3.6103101039986945E11,1.8549612897172446E11,GMIE-100
,Malawi,2023,12,12,4.9155981555353396E7,1.6057098024849937E9,1.3977277342475708E11,4.915598155535339E10,GMIE-100
,Zambia,2023,12,12,1.5157307298795447E8,3.592339845032356E9,3.4150534993753687E11,1.515730729879545E11,GMIE-100
,Zimbabwe,2023,12,12,9.094280008003983E7,2.3617959895657744E9,2.0878987817904544E11,9.094280008003993E10,GMIE-100
,Botswana,2023,12,12,3064347.412879289,8.37724842259038E7,4.738725380334498E9,3.0643474128792896E9,GMIE-100
,Namibia,2023,12,12,9356101.377525432,1.4268876452431294E8,1.1514876300751015E10,9.35610137752544E9,GMIE-100
,Angola,2023,12,12,3.3028040932422873E7,1.027866023641801E9,8.690072402579391E10,3.3028040932422886E10,GMIE-100
,Burundi,2023,12,12,7505951.958213593,2.736454105774638E8,2.813721135589071E10,7.505951958213606E9,GMIE-100
,Rwanda,2023,12,12,3586616.8972478285,1.372989656899724E8,1.363785303394106E10,3.5866168972478313E9,GMIE-100
,South Africa,2023,12,12,3.5049900607941365E8,1.9164377701705204E10,1.442834632551454E12,3.504990060794137E11,GMIE-100
,Lesotho,2023,12,12,90803.7409342924,1.9979884596225377E7,1.133510340174396E9,9.080374093429244E7,GMIE-100
,Swaziland,2023,12,12,1.7470964134619646E7,7.420721660288088E8,7.778622449617177E10,1.7470964134619698E10,GMIE-100
,Mayotte,2023,12,12,0.0,0.0,0.0,0.0,GMIE-100
,Niger,2023,12,12,3.11115352858743E7,6.819462281609629E8,4.329980471924965E10,3.1111535285874294E10,GMIE-100
,Sudan,2023,12,12,9.733415757212119E8,1.8609211692270515E10,1.3211094754738557E12,9.733415757212133E11,GMIE-100
,Libya,2023,12,12,2.0020433095417064E8,2.5820406782713406E10,2.7555168152070636E11,2.0020433095417047E11,GMIE-100
,Koualou Area,2023,12,12,5326.476949528926,144659.97773025418,1.0242023007657394E7,5326476.949528922,GMIE-100
,Tunisia,2023,12,12,4.3215098812469804E8,5.206259727524736E10,7.053287977631411E11,4.3215098812469885E11,GMIE-100
