iso3,year
ABW,2023
ABW,2024
ABW,2025
AFE,2025
AFG,2024
AFG,2025
AFW,2025
AGO,2025
ALB,2025
AND,2025
ARB,2025
ARE,2025
ARG,2025
ARM,2010
ARM,2011
ARM,2025
ATG,2024
ATG,2025
AUS,2025
AUT,2025
AZE,2025
BDI,2025
BEL,2025
BEN,2025
BFA,2025
BGD,2025
BGR,2025
BHR,2025
BHS,2025
BIH,2025
BLR,2025
BLZ,2025
BMU,2024
BMU,2025
BOL,2025
BRA,2025
BRB,2025
BRN,2025
BTN,2024
BTN,2025
BWA,2025
CAF,2025
CAN,2022
CAN,2023
CAN,2024
CAN,2025
CEB,2025
CHE,2025
CHI,2010
CHI,2011
CHI,2012
CHI,2013
CHI,2014
CHI,2015
CHI,2024
CHI,2025
CHL,2025
CHN,2025
CIV,2025
CMR,2025
COD,2025
COG,2025
COL,2025
COM,2025
CPV,2025
CRI,2025
CSS,2025
CUB,2021
CUB,2022
CUB,2023
CUB,2024
CUB,2025
CUW,2025
CYM,2024
CYM,2025
CYP,2025
CZE,2025
DEU,2025
DJI,2010
DJI,2011
DJI,2012
DJI,2025
DMA,2025
DNK,2025
DOM,2025
DZA,2025
EAP,2025
EAR,2025
EAS,2025
ECA,2025
ECS,2025
ECU,2025
EGY,2025
EMU,2025
ESP,2025
EST,2025
ETH,2025
EUU,2025
FCS,2025
FIN,2025
FJI,2025
FRA,2025
FRO,2025
FSM,2025
GAB,2025
GBR,2025
GEO,2025
GHA,2025
GIN,2025
GMB,2025
GNB,2025
GNQ,2025
GRC,2025
GRD,2025
GRL,2024
GRL,2025
GTM,2025
GUY,2025
HKG,2025
HND,2025
HPC,2025
HRV,2025
HTI,2025
HUN,2025
IBD,2025
IBT,2025
IDA,2025
IDB,2025
IDN,2025
IDX,2025
IMN,2010
IMN,2011
IMN,2023
IMN,2024
IMN,2025
IND,2025
IRL,2025
IRN,2025
IRQ,2025
ISL,2025
ISR,2025
ITA,2025
JAM,2025
JOR,2025
JPN,2024
JPN,2025
KAZ,2025
KEN,2025
KGZ,2025
KHM,2025
KIR,2024
KIR,2025
KNA,2025
KOR,2025
KWT,2025
LAC,2025
LAO,2025
LBN,2024
LBN,2025
LBR,2025
LBY,2025
LCA,2025
LCN,2025
LDC,2025
LIE,2010
LIE,2011
LIE,2012
LIE,2013
LIE,2014
LIE,2015
LIE,2024
LIE,2025
LKA,2025
LMY,2025
LSO,2025
LTE,2025
LTU,2025
LUX,2025
LVA,2025
MAR,2025
MDA,2025
MDG,2025
MDV,2025
MEA,2025
MEX,2025
MHL,2025
MIC,2025
MKD,2025
MLI,2025
MLT,2025
MMR,2025
MNA,2025
MNE,2025
MNG,2025
MOZ,2025
MRT,2025
MUS,2025
MWI,2025
MYS,2025
NAC,2022
NAC,2023
NAC,2024
NAC,2025
NAM,2025
NCL,2018
NCL,2020
NCL,2021
NCL,2022
NCL,2023
NCL,2024
NCL,2025
NER,2025
NGA,2025
NIC,2025
NLD,2025
NOR,2025
NPL,2025
NZL,2023
NZL,2024
NZL,2025
OED,2024
OED,2025
OMN,2025
OSS,2025
PAK,2025
PAN,2025
PER,2025
PHL,2025
PLW,2024
PLW,2025
PNG,2024
PNG,2025
POL,2025
PRE,2025
PRI,2025
PRT,2025
PRY,2025
PSE,2024
PSE,2025
PSS,2025
PST,2022
PST,2023
PST,2024
PST,2025
PYF,2021
PYF,2022
PYF,2023
PYF,2024
PYF,2025
QAT,2025
ROU,2025
RUS,2025
RWA,2025
SAS,2025
SAU,2025
SDN,2025
SEN,2025
SGP,2025
SLB,2025
SLE,2025
SLV,2025
SMR,2010
SMR,2011
SMR,2012
SMR,2013
SMR,2014
SMR,2024
SMR,2025
SRB,2025
SSA,2025
SSD,2016
SSD,2017
SSD,2018
SSD,2019
SSD,2020
SSD,2021
SSD,2022
SSD,2023
SSD,2024
SSD,2025
SSF,2025
SST,2025
STP,2025
SUR,2025
SVK,2025
SVN,2025
SWE,2025
SWZ,2025
SXM,2010
SXM,2014
SXM,2015
SXM,2016
SXM,2017
SXM,2018
SXM,2019
SXM,2020
SXM,2021
SXM,2022
SXM,2023
SXM,2024
SXM,2025
SYC,2025
SYR,2023
SYR,2024
SYR,2025
TCA,2025
TCD,2025
TEA,2025
TEC,2025
TGO,2025
THA,2025
TJK,2024
TJK,2025
TKM,2025
TLA,2025
TLS,2025
TMN,2025
TON,2024
TON,2025
TSA,2025
TSS,2025
TTO,2025
TUN,2025
TUR,2025
TUV,2016
TUV,2017
TUV,2018
TUV,2019
TUV,2020
TUV,2021
TUV,2022
TUV,2023
TUV,2024
TUV,2025
TZA,2025
UGA,2025
UKR,2025
URY,2025
USA,2022
USA,2023
USA,2024
USA,2025
UZB,2025
VCT,2025
VEN,2012
VEN,2013
VEN,2014
VEN,2015
VEN,2016
VEN,2017
VEN,2018
VEN,2019
VEN,2020
VEN,2021
VEN,2022
VEN,2023
VEN,2024
VEN,2025
VNM,2025
VUT,2023
VUT,2024
VUT,2025
WLD,2025
WSM,2025
XKX,2025
YEM,2019
YEM,2020
YEM,2021
YEM,2022
YEM,2023
YEM,2024
YEM,2025
ZAF,2025
ZMB,2025
ZWE,2025
